2025-05-17 21:02:57,614 INFO    MainThread:44902 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-17 21:02:57,615 INFO    MainThread:44902 [wandb_setup.py:_flush():70] Configure stats pid to 44902
2025-05-17 21:02:57,615 INFO    MainThread:44902 [wandb_setup.py:_flush():70] Loading settings from /Users/jintpongchababnapa/.config/wandb/settings
2025-05-17 21:02:57,615 INFO    MainThread:44902 [wandb_setup.py:_flush():70] Loading settings from /Users/jintpongchababnapa/Documents/Dissertation/agent/wandb/settings
2025-05-17 21:02:57,615 INFO    MainThread:44902 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-17 21:02:57,615 INFO    MainThread:44902 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/jintpongchababnapa/Documents/Dissertation/agent/wandb/run-20250517_210257-ig133i7p/logs/debug.log
2025-05-17 21:02:57,615 INFO    MainThread:44902 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/jintpongchababnapa/Documents/Dissertation/agent/wandb/run-20250517_210257-ig133i7p/logs/debug-internal.log
2025-05-17 21:02:57,617 INFO    MainThread:44902 [wandb_init.py:init():852] calling init triggers
2025-05-17 21:02:57,617 INFO    MainThread:44902 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {'code_path': 'code/train.py'}}
2025-05-17 21:02:57,617 INFO    MainThread:44902 [wandb_init.py:init():893] starting backend
2025-05-17 21:02:57,617 INFO    MainThread:44902 [wandb_init.py:init():897] sending inform_init request
2025-05-17 21:02:57,650 INFO    MainThread:44902 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-05-17 21:02:57,651 INFO    MainThread:44902 [wandb_init.py:init():907] backend started and connected
2025-05-17 21:02:57,653 INFO    MainThread:44902 [wandb_init.py:init():1005] updated telemetry
2025-05-17 21:02:57,704 INFO    MainThread:44902 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-17 21:02:58,204 INFO    MainThread:44902 [wandb_init.py:init():1104] starting run threads in backend
2025-05-17 21:02:58,359 INFO    MainThread:44902 [wandb_run.py:_console_start():2573] atexit reg
2025-05-17 21:02:58,359 INFO    MainThread:44902 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-17 21:02:58,359 INFO    MainThread:44902 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-17 21:02:58,359 INFO    MainThread:44902 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-17 21:02:58,362 INFO    MainThread:44902 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-17 21:03:45,632 INFO    MsgRouterThr:44902 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
